,0
164,-60.16964125
165,-60.16985122
166,-60.16666907
167,-60.17077305
168,-60.1698672
169,-60.17006306
170,-60.16949044
171,-60.17012166
172,-60.16859268
173,-60.17248948
174,-60.16677807
175,-60.168952
176,-60.1708193
177,-60.1720303
178,-60.17098598
179,-60.16720097
180,-60.17060242
181,-60.16939005
182,-60.17053563
183,-60.17046829
184,-60.16985493
185,-60.16981689
186,-60.16902464
187,-60.17102383
188,-60.16839379
189,-60.16872147
190,-60.17042963
191,-60.16981769
192,-60.17144383
193,-60.16851398
194,-60.16995226
195,-60.16760853
196,-60.16671588
197,-60.16890627
198,-60.16951746
199,-60.16804046
200,-60.17012393
201,-60.17112963
202,-60.16971775
203,-60.16953706
204,-60.17229762
205,-60.16833062
206,-60.17030929
207,-60.16874669
208,-60.17154667
209,-60.1696961
210,-60.16894585
211,-60.17113222
212,-60.17145553
213,-60.17258461
214,-60.17008437
215,-60.1696924
216,-60.16965525
217,-60.17089535
218,-60.1710634
219,-60.16934094
220,-60.17190285
221,-60.16928761
222,-60.17108659
223,-60.16833854
224,-60.16839491
225,-60.16972876
226,-60.17081824
227,-60.17023378
228,-60.1713383
229,-60.1666112
230,-60.17148005
231,-60.16912332
232,-60.16652979
233,-60.17000497
234,-60.16631675
235,-60.16725964
236,-60.17031132
237,-60.17074632
238,-60.16892568
239,-60.17012821
240,-60.17174004
241,-60.16946006
242,-60.16546192
243,-60.1709295
244,-60.17083798
245,-60.16916409
246,-60.17065279
247,-60.17021342
248,-60.17092977
249,-60.17092666
250,282.32372586
251,-60.16743995
252,-60.16787011
253,-60.16890922
254,-60.16947622
255,-60.16974624
256,-60.16598625
257,-60.16708032
258,-60.17160472
259,-60.16992254
260,-60.16711583
261,-60.17037838
262,-60.16712118
263,-60.16683464
264,-60.17009273
265,-60.16969614
266,-60.16872597
267,-60.16896656
268,-60.16921231
269,-60.17195686
270,-60.16758861
271,-60.16961137
272,-60.17022387
273,-60.17270357
274,-60.17062632
275,-60.16751625
276,-60.16737653
277,-60.17137738
278,-60.16948682
279,-60.16887553
280,-60.17087466
281,-60.17069214
282,-60.16802507
283,-60.17238821
284,-60.16882248
285,-60.16786053
286,-60.16821967
287,-60.16946648
288,-60.16980804
289,-60.16980839
290,-60.17034035
291,-60.1695701
292,-60.16990874
293,-60.16949101
294,-60.16908463
295,-60.16871812
296,-60.16886851
297,-60.17017413
298,-60.17006196
299,-60.16835561
300,-60.12073264
301,-60.16979626
302,-60.17084643
303,-60.16993673
304,-60.16900517
305,-60.17002923
306,-60.16642946
307,-60.16832766
308,-60.17179612
309,-60.17081957
310,-60.16980168
311,-60.16938039
312,-60.16796238
313,-60.17026098
314,-60.16854396
315,-60.17087247
316,-60.17073073
317,-60.16816356
318,-60.16892304
319,-60.16915183
320,-60.17112202
321,-60.17179889
322,-60.16995302
323,-60.16869666
324,-60.16887737
325,-60.16940514
326,-60.17080946
327,-60.17047885
328,-60.16917653
329,-60.17056857
330,-60.17104623
331,-60.16967122
332,-60.16956937
333,-60.17156088
334,-60.17034395
335,-60.17173103
336,-60.16779634
337,-60.17024235
338,-60.17187758
339,-60.16964692
340,-60.16698374
341,-60.17180165
342,-60.17117826
343,-60.1704727
344,-60.16899566
345,-60.17120723
346,-60.17226338
347,-60.17013212
348,-60.17167184
349,-60.16818722
350,-60.16895246
351,-60.1712677
352,-60.1683217
353,-60.1706687
354,-60.16776394
355,-60.16817882
356,-60.1672073
357,-60.16998544
358,-60.16872568
359,-60.16689436
360,-60.16845303
361,-60.17003349
362,-60.16967299
363,-60.17156104
364,-60.17101407
365,-60.16984508
366,-60.16904169
367,-60.16941654
368,-60.16723346
369,-60.17171994
370,-60.17077682
371,-60.17232978
372,-60.17107735
373,-60.17050663
374,-60.17123091
375,-60.16962888
376,-60.17071937
377,-60.16869824
378,-60.16800566
379,-60.16832738
380,-60.17015059
381,-60.16686025
382,-60.16973759
383,-60.16939798
384,-60.17170027
385,-60.16795607
386,-60.16869002
387,-60.16892319
388,-60.16810652
389,-60.17093672
390,-60.16797306
391,-60.17040003
392,-60.16853087
393,-60.17157432
394,-60.16793028
395,-60.17075971
396,-60.17077916
397,-60.17035565
398,-60.16439709
399,-60.17053031
400,-60.16898043
401,-60.16820958
402,-60.16742145
403,-60.17121882
404,-60.17137762
405,-60.17148375
406,-60.17032291
407,-60.16962356
408,-60.17186362
409,-60.16967336
410,-60.17275353
411,-60.16867401
412,-60.17098695
413,-60.1715071
414,-60.16884998
415,-60.17145315
416,-60.16704867
417,-60.17080542
418,-60.17042796
419,-60.16888324
420,-60.17108612
421,-60.16857207
422,-60.1685519
423,-60.17012514
424,-60.17029596
425,-60.16992282
426,-60.16923206
427,-60.16803373
428,-60.16991011
429,-60.16903468
430,-60.16891742
431,-60.17041533
432,-60.16921975
433,-60.16874281
434,-60.17135184
435,-60.1710799
436,-60.16812677
437,-60.16995545
438,-60.1696971
439,-60.16973326
440,-60.16957059
441,-60.1706845
442,-60.16871455
443,-60.16937569
444,-60.16930142
445,-60.16831147
446,-60.16774117
447,-60.16888749
448,-60.16949075
449,-60.16780015
450,-60.16497745
451,-60.16982858
452,-60.17141219
453,-60.1686564
454,-60.17046521
455,-60.17124808
456,-60.16960396
457,-60.16923489
458,-60.16597349
459,-60.17046314
460,-60.16883796
461,-60.16911487
462,-60.17102848
463,-60.1666078
464,-60.1702677
465,-60.16941032
466,-60.16988845
467,-60.16871051
468,-60.16937835
469,-60.16909641
470,-60.17096443
471,-60.17014362
472,-60.17129909
473,-60.17095131
474,-60.16944304
475,-60.16752952
476,-60.16744002
477,-60.16931531
478,-60.16812226
479,-60.16871092
480,-60.1711128
481,-60.16831395
482,-60.16979882
483,-60.16869092
484,-60.17032504
485,-60.17027849
486,-60.17287478
487,-60.16874042
488,-60.16779558
489,-60.16995147
490,-60.17047398
491,-60.16951892
492,-60.17117765
493,-60.17230418
494,-60.16920694
495,-60.16712289
496,-60.16962028
497,-60.16905611
498,-60.1702847
499,-60.17042626
